Book Id,Title,Author,Author l-f,Additional Authors,ISBN,ISBN13,My Rating,Average Rating,Publisher,Binding,Number of Pages,Year Published,Original Publication Year,Date Read,Date Added,Bookshelves,Bookshelves with positions,Exclusive Shelf,My Review,Spoiler,Private Notes,Read Count,Owned Copies
58724626,"What Moves the Dead (Sworn Soldier, #1)",T. Kingfisher,"Kingfisher, T.",,"=""1250830753""","=""9781250830753""",4,3.86,Tor Nightfire,Hardcover,165,2022,2022,2024/12/23,2024/12/23,"horror, historical-fiction, mystery","horror (#3), historical-fiction (#57), mystery (#54)",read,"It's a small setting, which I prefer, just a few characters in a small rural area and a dismal house. The writing is simple but descriptive and not much time wasted at all. <br/><br/>The writing is quite good, you know what's coming but it's still just as horrific and chilling when described. <br/><br/>I didn't know that this was based on a short story by Edgar Allan Poe, but it definitely stands on its own and much better IMO. <br/><br/>",,,1,0
175516,The Fall of the House of Usher,Edgar Allan Poe,"Poe, Edgar Allan",,"=""1594561796""","=""9781594561795""",2,3.85,BookSurge Classics,Paperback,36,2004,1839,2024/12/23,2024/12/23,,,read,,,,1,0
213847219,Hammajang Luck,Makana Yamamoto,"Yamamoto, Makana",,"=""0063430827""","=""9780063430822""",0,3.60,Harper Voyager,Paperback,368,2025,2024,,2024/12/22,to-read,to-read (#251),to-read,,,,0,0
97898,"The Full Cupboard of Life (No. 1 Ladies' Detective Agency, #5)",Alexander McCall Smith,"Smith, Alexander McCall",,"=""1400031818""","=""9781400031818""",2,4.03,Anchor,Paperback,198,2004,2003,2024/12/14,2024/12/14,"cozy, fiction, light-novel","cozy (#11), fiction (#284), light-novel (#14)",read,"A decent entry in the series, sprinkled with calls to traditions, culture and yearning for human connections and community. The people are all written, the setting is just the right balance of comfortable and hard work. It's great to see glimpses into the lives of the main characters and how they've grown. I love how much pride they have in their country while acknowledging its issues. <br/><br/>Which is all wonderful, but I've been reading this for the mysteries of which this time there was very little to speak of. It is after all, the number one ladies detective agency, not the number one slice of life.",,,1,0
176443191,Three Eight One,Aliya Whiteley,"Whiteley, Aliya",,"=""1837860750""","=""9781837860753""",1,3.28,Solaris,Hardcover,269,2024,,2024/12/17,2024/12/07,"confusing, science-fiction, fiction, travelogue","confusing (#4), science-fiction (#276), fiction (#283), travelogue (#4)",read,"At some point it becomes pretty clear that the ""mysteries"" being presented aren't there to be resolved. 381, corresponding to the letters cha, the strange pig like creatures, why the breathing man keeps following, the boxes with the buttons. They're just filler material with an air of meaning only meant for literary snobs to invent for themselves. <br/><br/>The characters are unengaging despite what could have been an interesting premise: someone from a far distant future reading a person's travelogue, trying to understand it. Instead we just get a great big nothingburger.",,,1,0
7053,"In the Company of Cheerful Ladies (No. 1 Ladies' Detective Agency, #6)",Alexander McCall Smith,"Smith, Alexander McCall",,"=""0375422714""","=""9780375422713""",0,4.10,Pantheon,Hardcover,233,2005,2004,,2024/12/14,to-read,to-read (#250),to-read,,,,0,0
189263167,Calypso,Oliver K. Langmead,"Langmead, Oliver K.",,"=""""","=""""",3,3.61,Titan Books,Hardcover,224,2024,2024,2024/12/13,2024/12/07,"science-fiction, fantasy","science-fiction (#272), fantasy (#304)",read,"Quite a unique book, when I first opened it I thought it was a giant poem. Thank goodness, it isn't. It's just a writing style with the lines one after the other, the author then uses that style to sort of shape the chapters and the narrative point of views. The shapes start to make sense as you go through the story and sometimes are used with amazing effect. <br/><br/>The story is a standard ""someone's woken up from their capsule and oh no something has gone wrong"" which isn't uncommon in scifi. It's the writing style and prose that make the story though, it's told in a somewhat 'odyssey' sense and feels like a fever dream at times. ",,,1,0
49867430,"Hench (Hench, #1)",Natalie Zina Walschots,"Walschots, Natalie Zina",,"=""0062978578""","=""9780062978578""",4,4.01,William Morrow,Hardcover,403,2020,2020,2024/11/24,2024/11/23,"fantasy, fiction","fantasy (#306), fiction (#282)",read,"Unexpectedly enjoyed this, from start to finish. The main character is a flawed hench who gets to execute on a larger scale of vengeance against so called superheroes. The scheming and planning is fun to go along with and the outcomes satisfying. It maintains an air of comedy and seriousness at the same time, there's camaraderie and raw enmity together too. Best of all, nothing is predictable. <br/><br/>It also delivers its core message well without being on the nose about it, hero worship is endemic to us and we are willing to overlook all of its flawed outcomes and collateral damage to maintain and cling to our sense of ideals.",,,1,0
56889499,"Binti: Sacred Fire (Binti, #1.5)",Nnedi Okorafor,"Okorafor, Nnedi",,"=""""","=""""",3,3.58,Tor.com,ebook,40,2019,2019,2024/12/07,2024/12/06,science-fiction,science-fiction (#275),read,"Look, I understand interstellar travel. Alien species. Communicating with said aliens. I'll even accept faster than light communication. <br/><br/>But using Fahrenheit to describe the weather, are you serious? Just agitates my hair tentacles!",,,1,0
25667918,"Binti (Binti, #1)",Nnedi Okorafor,"Okorafor, Nnedi",N.K. Jemisin,"=""0765384469""","=""9780765384461""",4,3.85,Tor.com,ebook,96,2015,2015,2024/12/06,2024/12/06,"cozy, science-fiction, fantasy","cozy (#10), science-fiction (#274), fantasy (#305)",read,"Unique and ethereal. I really like sci-fi that's almost realistic and human but one step removed into the mystical magical realm. The concepts presented such as the hair, the edan, the mathematical harmonising, that amazing ship...  were alien to me but I was able to somehow understand just enough. Really well written and very creative.",,,1,0
